relative_path,parent_directory,name,suffix,size_bytes,sha256,is_text,detected_encoding,printable_ratio,line_count,categories,uft_markers,object_reference_markers,parameter_markers,control_flow_markers,function_or_sub_markers,error
db_xmlmap.xml,.,db_xmlmap.xml,.xml,436562,51d9c6afa028bb3ef5cfd793fcdbb1e13f018f2d11244898067d235281c093ae,True,utf-8-sig,1.0000,7178,text; known_text_extension; contains_control_flow; xml_candidate,,,,For ; Next,,
dbid.xml,.,dbid.xml,.xml,1157,b0311c519dd65b92362e7029b06f80993f2569b21984f412e5b6dee100d05760,True,utf-8-sig,1.0000,24,text; known_text_extension; contains_control_flow; xml_candidate,,,,Then,,
ProjRep/000/000/000/000/001,ProjRep/000/000/000/000,001,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,utf-8-sig,1.0000,,text,,,,,,
ProjRep/000/000/000/001/001,ProjRep/000/000/000/001,001,,21280,a67cd9062f6da5d0110da0932d0b4a26f873d875756ac1e2438919f99aa28b22,False,,,,binary,,,,,,
ProjRep/000/000/000/001/002,ProjRep/000/000/000/001,002,,13872,5e01ea3768be3da8504c86d9a4088549b00435802a8b5fde61804c9322c51025,False,,,,binary,,,,,,
ProjRep/000/000/000/001/003,ProjRep/000/000/000/001,003,,15477,9f160737940ef651ab61b0ca3fade10435f9503bbb958ad3b6a0a0508e34770b,False,,,,binary,,,,,,
ProjRep/000/000/000/001/004,ProjRep/000/000/000/001,004,,18433,afff1118790e5d0082e336804acdd1dfe6b99d648cedaa83af94163245e988e3,False,,,,binary,,,,,,
ProjRep/000/000/000/001/005,ProjRep/000/000/000/001,005,,19065,bbd6348570429efa129b1421109d22626260f7b9a49f328583b0100baae2e3ca,False,,,,binary,,,,,,
ProjRep/000/000/000/001/006,ProjRep/000/000/000/001,006,,18630,117711b0d414242761e502131d73486da1cf406485d5181e56158dae0bb0b85c,False,,,,binary,,,,,,
ProjRep/000/000/000/001/007,ProjRep/000/000/000/001,007,,19931,84f7354ca65cf94fa008333e338d460deda6d148d8231cab520682937a44c09a,False,,,,binary,,,,,,
